REF_DATE,GEO,GEO_CODE,DWELLING_TYPE,INTENDED_MARKET,HOUSING_STARTS,AVERAGE_PRICE_CAD,DATA_SOURCE,REPORTING_AGENCY,LAST_UPDATED,SURVEY_METHOD,GEOGRAPHY_TYPE,UOM,SCALAR_FACTOR,STATUS,DECIMALS,_record_id,_rule_id,_rule_name,_dimension,_cde,_severity,_failure_reason,_remediation,_flagged_at
2018-06,Alberta,AB,Single-Detached,Condominium,,435933.62,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2018-06-15,Modelled Estimate,Province/Territory,Units,units,,0,783,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2018-06,Quebec,QC,Semi-Detached,Rental,,363599.85,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2018-06-15,Administrative Data,Province/Territory,Units,units,,0,800,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2018-06,Quebec,QC,Row House,Homeowner,,360040.4,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2018-06-15,Direct Survey,Province/Territory,Units,units,,0,802,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2018-06,Saskatchewan,SK,Row House,Condominium,,324761.25,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2018-06-15,Direct Survey,Province/Territory,Units,units,E,0,834,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2018-07,Ontario,ON,Row House,Homeowner,,794841.97,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2018-07-15,Administrative Data,Province/Territory,Units,units,E,0,907,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2018-07,British Columbia,BC,Row House,Condominium,,806691.26,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2018-07-15,Direct Survey,Province/Territory,Units,units,,0,924,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2018-07,Newfoundland and Labrador,NL,Single-Detached,Condominium,,406051.53,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2018-07-15,Direct Survey,Province/Territory,Units,units,E,0,1023,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2018-08,Prince Edward Island,PE,Apartment - 5+ storeys,Rental,,303524.46,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2018-08-15,Administrative Data,Province/Territory,Units,units,E,0,1196,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2018-09,Alberta,AB,Row House,Condominium,,522663.03,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2018-09-15,Administrative Data,Province/Territory,Units,units,F,0,1239,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2018-09,New Brunswick,NB,Apartment - Under 5 storeys,Rental,,397065.53,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2018-09-15,Administrative Data,Province/Territory,Units,units,,0,1319,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2018-09,New Brunswick,NB,Apartment - Under 5 storeys,Condominium,,369896.35,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2018-09-15,Modelled Estimate,Province/Territory,Units,units,,0,1320,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2018-10,Ontario,ON,Single-Detached,Rental,,801185.48,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2018-10-15,Modelled Estimate,Province/Territory,Units,units,F,0,1352,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2018-10,Saskatchewan,SK,Row House,Homeowner,,384067.98,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2018-10-15,Direct Survey,Province/Territory,Units,units,E,0,1432,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2018-10,Nova Scotia,NS,Apartment - Under 5 storeys,Homeowner,,387528.96,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2018-10-15,Administrative Data,Province/Territory,Units,units,F,0,1453,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2018-10,New Brunswick,NB,Apartment - Under 5 storeys,Rental,,338522.57,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2018-10-15,Direct Survey,Province/Territory,Units,units,,0,1469,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2018-10,Newfoundland and Labrador,NL,Apartment - 5+ storeys,Rental,,319570.51,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2018-10-15,Direct Survey,Province/Territory,Units,units,,0,1481,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2018-10,Newfoundland and Labrador,NL,Apartment - Under 5 storeys,Rental,,321482.43,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2018-10-15,Administrative Data,Province/Territory,Units,units,,0,1484,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2018-11,British Columbia,BC,Apartment - 5+ storeys,Condominium,,810812.32,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2018-11-15,Direct Survey,Province/Territory,Units,units,,0,1527,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2018-11,Saskatchewan,SK,Semi-Detached,Rental,,365659.22,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2018-11-15,Administrative Data,Province/Territory,Units,units,E,0,1580,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2018-11,Saskatchewan,SK,Row House,Condominium,,357902.67,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2018-11-15,Administrative Data,Province/Territory,Units,units,E,0,1584,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2018-12,Ontario,ON,Semi-Detached,Homeowner,,768083.05,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2018-12-15,Administrative Data,Province/Territory,Units,units,F,0,1654,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2018-12,Alberta,AB,Semi-Detached,Rental,,456553.26,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2018-12-15,Administrative Data,Province/Territory,Units,units,,0,1685,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2018-12,Saskatchewan,SK,Row House,Homeowner,,401176.53,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2018-12-15,Direct Survey,Province/Territory,Units,units,E,0,1732,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2019-01,Quebec,QC,Semi-Detached,Homeowner,,416630.38,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2019-01-15,Modelled Estimate,Province/Territory,Units,units,F,0,1849,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2019-01,Manitoba,MB,Single-Detached,Homeowner,,435158.63,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2019-01-15,Direct Survey,Province/Territory,Units,units,,0,1861,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2019-01,Saskatchewan,SK,Single-Detached,Condominium,,251553.84,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2019-01-15,Modelled Estimate,Province/Territory,Units,units,,0,1878,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2019-02,Nova Scotia,NS,Apartment - Under 5 storeys,Homeowner,,362156.17,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2019-02-15,Administrative Data,Province/Territory,Units,units,F,0,2053,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2019-02,Newfoundland and Labrador,NL,Row House,Rental,,339143.45,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2019-02-15,Modelled Estimate,Province/Territory,Units,units,E,0,2078,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2019-03,Alberta,AB,Row House,Homeowner,,396013.18,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2019-03-15,Modelled Estimate,Province/Territory,Units,units,,0,2137,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2019-03,Alberta,AB,Apartment - Under 5 storeys,Rental,,459284.43,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2019-03-15,Direct Survey,Province/Territory,Units,units,F,0,2144,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2019-03,Nova Scotia,NS,Single-Detached,Rental,,359895.83,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2019-03-15,Administrative Data,Province/Territory,Units,units,,0,2192,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2019-03,New Brunswick,NB,Single-Detached,Rental,,225096.95,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2019-03-15,Modelled Estimate,Province/Territory,Units,units,E,0,2207,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2019-03,Newfoundland and Labrador,NL,Single-Detached,Condominium,,311932.24,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2019-03-15,Modelled Estimate,Province/Territory,Units,units,F,0,2223,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2019-04,Saskatchewan,SK,Apartment - 5+ storeys,Condominium,,,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2019-04-15,Administrative Data,Province/Territory,Units,units,F,0,2337,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2019-04,Nova Scotia,NS,Apartment - 5+ storeys,Homeowner,,326543.46,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2019-04-15,Modelled Estimate,Province/Territory,Units,units,,0,2350,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2019-05,Ontario,ON,Apartment - 5+ storeys,Condominium,,749295.05,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2019-05-15,Modelled Estimate,Province/Territory,Units,units,F,0,2412,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2019-05,Alberta,AB,Row House,Homeowner,,461643.4,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2019-05-15,Administrative Data,Province/Territory,Units,units,,0,2437,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2019-05,Manitoba,MB,Single-Detached,Homeowner,,365262.16,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2019-05-15,Direct Survey,Province/Territory,Units,units,F,0,2461,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2019-07,Manitoba,MB,Row House,Condominium,,332315.71,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2019-07-15,Modelled Estimate,Province/Territory,Units,units,,0,2769,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2019-07,New Brunswick,NB,Single-Detached,Homeowner,,438325.59,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2019-07-15,Direct Survey,Province/Territory,Units,units,,0,2806,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2019-08,Alberta,AB,Single-Detached,Condominium,,434057.68,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2019-08-15,Direct Survey,Province/Territory,Units,units,,0,2883,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2019-08,Manitoba,MB,Apartment - Under 5 storeys,Rental,,300282.25,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2019-08-15,Direct Survey,Province/Territory,Units,units,F,0,2924,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2019-09,Quebec,QC,Apartment - 5+ storeys,Homeowner,,363662.9,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2019-09-15,Administrative Data,Province/Territory,Units,units,E,0,3055,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2019-09,Manitoba,MB,Single-Detached,Homeowner,,357387.8,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2019-09-15,Administrative Data,Province/Territory,Units,units,F,0,3061,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2019-09,Saskatchewan,SK,Single-Detached,Homeowner,,305814.04,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2019-09-15,Direct Survey,Province/Territory,Units,units,F,0,3076,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2019-09,Prince Edward Island,PE,Apartment - 5+ storeys,Homeowner,,334245.9,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2019-09-15,Modelled Estimate,Province/Territory,Units,units,E,0,3145,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2019-10,Prince Edward Island,PE,Single-Detached,Condominium,,407800.33,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2019-10-15,Modelled Estimate,Province/Territory,Units,units,F,0,3288,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2019-11,Manitoba,MB,Row House,Rental,,375484.15,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2019-11-15,Direct Survey,Province/Territory,Units,units,F,0,3368,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2019-11,New Brunswick,NB,Apartment - 5+ storeys,Homeowner,,328211.78,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2019-11-15,Administrative Data,Province/Territory,Units,units,,0,3415,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2019-11,Newfoundland and Labrador,NL,Apartment - 5+ storeys,Condominium,,362837.54,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2019-11-15,Administrative Data,Province/Territory,Units,units,,0,3432,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2019-11,Newfoundland and Labrador,NL,Apartment - Under 5 storeys,Rental,,309700.41,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2019-11-15,Direct Survey,Province/Territory,Units,units,,0,3434,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2019-12,Saskatchewan,SK,Single-Detached,Homeowner,,369949.61,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2019-12-15,Modelled Estimate,Province/Territory,Units,units,,0,3526,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2019-12,Saskatchewan,SK,Apartment - Under 5 storeys,Rental,,452992.25,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2019-12-15,Modelled Estimate,Province/Territory,Units,units,,0,3539,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2019-12,New Brunswick,NB,Semi-Detached,Condominium,,307927.52,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2019-12-15,Administrative Data,Province/Territory,Units,units,E,0,3561,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2019-12,Newfoundland and Labrador,NL,Apartment - Under 5 storeys,Homeowner,,344200.15,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2019-12-15,Modelled Estimate,Province/Territory,Units,units,,0,3583,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2019-12,Prince Edward Island,PE,Semi-Detached,Condominium,,332052.08,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2019-12-15,Administrative Data,Province/Territory,Units,units,,0,3591,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
